web-scraper-order,web-scraper-start-url,pagelink,pagelink-href,pagelink2,pagelink2-href
"1716323825-205","https://cesta.stanford.edu/events/past-events","","","Introduction To R","https://cesta.stanford.edu/events/introduction-r"
"1716323825-206","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | F. Mazzini ""Hams, phreaks, hackers: a genealogy of participatory cultures...""","https://cesta.stanford.edu/events/cesta-seminar-f-mazzini-hams-phreaks-hackers-genealogy-participatory-cultures"
"1716323825-207","https://cesta.stanford.edu/events/past-events","","","Beginning Python","https://cesta.stanford.edu/events/beginning-python"
"1716323825-208","https://cesta.stanford.edu/events/past-events","","","Working with Network Data in Gephi: Digital Tools and Methods for the Humanities and Social Sciences","https://cesta.stanford.edu/events/working-network-data-gephi-digital-tools-and-methods-humanities-and-social-sciences"
"1716323825-209","https://cesta.stanford.edu/events/past-events","","","Using Spatial Data with R: Digital Tools and Methods for the Humanities and Social Sciences","https://cesta.stanford.edu/events/using-spatial-data-r-digital-tools-and-methods-humanities-and-social-sciences"
"1716323825-210","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | R. Wall ""Slave Liberations in French West Africa, 1850-1905: A (Very) Preliminary..""","https://cesta.stanford.edu/events/cesta-seminar-r-wall-slave-liberations-french-west-africa-1850-1905-very-preliminary"
"1716323825-211","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | A. Wermer-Colan ""The SF Nexus: Digitizing, Curating, and Modeling Mass-Market...""","https://cesta.stanford.edu/events/cesta-seminar-wermer-colan-sf-nexus-digitizing-curating-and-modeling-mass-market"
"1716323825-212","https://cesta.stanford.edu/events/past-events","","","Intro to Machine Learning with Python: Digital Tools and Methods for Humanities and Social Sciences","https://cesta.stanford.edu/events/intro-machine-learning-python-digital-tools-and-methods-humanities-and-social-sciences"
"1716323825-213","https://cesta.stanford.edu/events/past-events","","","Intermediate R: TBD","https://cesta.stanford.edu/events/intermediate-r-tbd"
"1716323825-214","https://cesta.stanford.edu/events/past-events","","","The 1891 Lectures in the Humanities: Ato Quayson","https://cesta.stanford.edu/events/1891-lectures-humanities-ato-quayson"
"1716323825-215","https://cesta.stanford.edu/events/past-events","","","Data Wrangling with OpenRefine: Digital Tools and Methods for the Humanities and Social Sciences","https://cesta.stanford.edu/events/data-wrangling-openrefine-digital-tools-and-methods-humanities-and-social-sciences"
"1716323825-216","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | J. Pohlmann ""The IT-Blog Sphere and Its Discussion of Transatlantic Internet Policy""","https://cesta.stanford.edu/events/cesta-seminar-j-pohlmann-it-blog-sphere-and-its-discussion-transatlantic-internet-policy"
"1716323825-217","https://cesta.stanford.edu/events/past-events","","","Intermediate Python: Pandas","https://cesta.stanford.edu/events/intermediate-python-pandas"
"1716323825-218","https://cesta.stanford.edu/events/past-events","","","Introduction to Python: Digital Tools and Methods for the Humanities and Social Sciences","https://cesta.stanford.edu/events/introduction-python-digital-tools-and-methods-humanities-and-social-sciences-1"
"1716323825-219","https://cesta.stanford.edu/events/past-events","","","Version Control With Git","https://cesta.stanford.edu/events/version-control-git"
"1716323825-220","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | ""Harry Potter and the Global Phenomenon of Fanfic""","https://cesta.stanford.edu/events/cesta-seminar-harry-potter-and-global-phenomenon-fanfic"
"1716323825-221","https://cesta.stanford.edu/events/past-events","","","Introduction to R: Digital Tools and Methods for the Humanities and Social Sciences","https://cesta.stanford.edu/events/introduction-r-digital-tools-and-methods-humanities-and-social-sciences-0"
"1716323825-222","https://cesta.stanford.edu/events/past-events","","","Celebrating the Burke Collection at Stanford Libraries - A Symposium","https://cesta.stanford.edu/events/celebrating-burke-collection-stanford-libraries-symposium"
"1716323825-223","https://cesta.stanford.edu/events/past-events","","","Dr. B. Algee-Hewitt on ""Technology Evolutions and Research Revolutions""","https://cesta.stanford.edu/events/dr-b-algee-hewitt-technology-evolutions-and-research-revolutions"
"1716323825-224","https://cesta.stanford.edu/events/past-events","","","HAI Workshop: Uncertainty in AI Situations","https://cesta.stanford.edu/events/hai-workshop-uncertainty-ai-situations"
"1716323825-225","https://cesta.stanford.edu/events/past-events","","","Public Release and Exhibition: Tracing The Arctic Regions","https://cesta.stanford.edu/events/public-release-and-exhibition-tracing-arctic-regions"
"1716323825-226","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar | Dr. Katie McDonough","https://cesta.stanford.edu/events/cesta-seminar-dr-katie-mcdonough"
